2024-05-04 04:19:26.444 [info] (Client) Pylance async client (2024.4.1) started with python extension (2024.6.0)
2024-05-04 04:19:27.226 [info] [Info  - 4:19:27 AM] (5993) Pylance language server 2024.4.1 (pyright version 1.1.356, commit 6652c4a8) starting
2024-05-04 04:19:27.228 [info] [Info  - 4:19:27 AM] (5993) Server root directory: file:///home/ubuntu/.vscode-server/extensions/ms-python.vscode-pylance-2024.4.1/dist
2024-05-04 04:19:27.228 [info] [Info  - 4:19:27 AM] (5993) Starting service instance "ubuntu"
2024-05-04 04:19:27.354 [info] [Info  - 4:19:27 AM] (5993) Setting pythonPath for service "ubuntu": "/home/ubuntu/airflow_environment/bin/python"
2024-05-04 04:19:27.355 [info] [Info  - 4:19:27 AM] (5993) Setting environmentName for service "ubuntu": "3.12.3 (airflow_environment venv)"
2024-05-04 04:19:27.405 [info] [Info  - 4:19:27 AM] (5993) Assuming Python version 3.12.3.final.0
2024-05-04 04:19:27.725 [info] [Info  - 4:19:27 AM] (5993) Auto-excluding /home/ubuntu/airflow_environment
2024-05-04 04:19:27.725 [info] [Info  - 4:19:27 AM] (5993) Found 2 source files
2024-05-04 04:19:28.725 [info] [Info  - 4:19:28 AM] (5993) Background analysis(1) root directory: file:///home/ubuntu/.vscode-server/extensions/ms-python.vscode-pylance-2024.4.1/dist
2024-05-04 04:19:28.732 [info] [Info  - 4:19:28 AM] (5993) Background analysis(1) started
2024-05-04 04:19:29.131 [info] [Info  - 4:19:29 AM] (5993) Indexer background runner(2) root directory: file:///home/ubuntu/.vscode-server/extensions/ms-python.vscode-pylance-2024.4.1/dist (index)
2024-05-04 04:19:29.131 [info] [Info  - 4:19:29 AM] (5993) Indexing(2) started
2024-05-04 04:19:30.805 [info] [Info  - 4:19:30 AM] (5993) scanned(2) 151 files over 1 exec env
2024-05-04 04:19:38.129 [info] [Info  - 4:19:38 AM] (5993) [IDX(2)] Long operation: index execution environment file:///home/ubuntu (5726ms)
2024-05-04 04:19:38.192 [info] [Info  - 4:19:38 AM] (5993) [IDX(2)] Long operation: index packages file:///home/ubuntu (5805ms)
2024-05-04 04:19:38.192 [info] [Info  - 4:19:38 AM] (5993) indexed(2) 125 files over 1 exec env
2024-05-04 04:19:38.386 [info] [Info  - 4:19:38 AM] (5993) Indexing finished(2).
2024-05-04 04:26:43.360 [info] [Info  - 4:26:43 AM] (5993) [BG(1)] Long operation: SemanticTokens full at file:///home/ubuntu/airflow/dags/weather_dag.py (2261ms)
2024-05-04 04:28:34.927 [info] [Info  - 4:28:34 AM] (5993) [BG(1)] Long operation: SemanticTokens delta previousResultId:1714796885241 at file:///home/ubuntu/airflow/dags/weather_dag.py (4835ms)
